Name,Division,Records
Pascal Krauss,Welterweight Division,11-2-0 (W-L-D)
Jorgen Kruth,Light Heavyweight Division,5-0-0 (W-L-D)
Nikita Krylov,Light Heavyweight Division,30-9-0 (W-L-D)
Mariusz Ksiazkiewicz,Middleweight Division,0-1-0 (W-L-D)
Michael Kuiper,Middleweight Division,12-3-0 (W-L-D)
Anton Kuivanen,Lightweight Division,17-6-0 (W-L-D)
Aleksei Kunchenko,Welterweight Division,20-2-0 (W-L-D)
Rizvan Kuniev,Heavyweight Division,1-0-0 (W-L-D)
Keigo Kunihara,Heavyweight Division,3-3-0 (W-L-D)
Kiichi Kunimoto,Welterweight Division,19-6-2 (W-L-D)
Leo Kuntz,Lightweight Division,17-3-1 (W-L-D)
Korey Kuppe,Welterweight Division,8-4-0 (W-L-D)
Ramazan Kuramagomedov,Middleweight Division,1-0-0 (W-L-D)
Guram Kutateladze,Lightweight Division,12-3-0 (W-L-D)
Kwan Ho Kwak,Bantamweight Division,9-2-0 (W-L-D)
Mike Kyle,Light Heavyweight Division,19-9-1 (W-L-D)
Luan Lacerda,Bantamweight Division,12-2-0 (W-L-D)
Daniel Lacerda,Flyweight Division,11-5-0 (W-L-D)
Aspen Ladd,Women's Bantamweight Division,9-3-0 (W-L-D)
Ryan LaFlare,Welterweight Division,13-3-0 (W-L-D)
Noad Lahat,Featherweight Division,9-2-0 (W-L-D)
Tina Lahdemaki,Women's Strawweight Division,5-1-0 (W-L-D)
Yohan Lainesse,Welterweight Division,9-2-0 (W-L-D)
Tim Lajcik,Heavyweight Division,11-4-1 (W-L-D)
Sean Lally,Welterweight Division,8-4-0 (W-L-D)
Ricardo Lamas,Featherweight Division,20-8-0 (W-L-D)
Jason Lambert,Middleweight Division,23-8-0 (W-L-D)
Joseph Landman,N/A,N/A
Nate Landwehr,Featherweight Division,17-4-0 (W-L-D)
Austen Lane,Heavyweight Division,12-3-0 (W-L-D)
Lina Lansberg,Women's Bantamweight Division,10-8-0 (W-L-D)
Taylor Lapilus,Bantamweight Division,11-2-0 (W-L-D)
Chad Laprise,Welterweight Division,14-4-0 (W-L-D)
Anthony Lapsley,Welterweight Division,25-7-0 (W-L-D)
TJ Laramie,Featherweight Division,12-5-0 (W-L-D)
Icho Larenas,Heavyweight Division,3-2-0 (W-L-D)
Lorenz Larkin,Welterweight Division,18-5-0 (W-L-D)
Jeremy Larsen,Featherweight Division,8-5-0 (W-L-D)
Brock Larson,Welterweight Division,27-4-0 (W-L-D)
Ilir Latifi,Heavyweight Division,17-8-0 (W-L-D)
Sione Latu,Heavyweight Division,0-0-0 (W-L-D)
Jenel Lausa,Flyweight Division,7-4-0 (W-L-D)
Dan Lauzon,Lightweight Division,12-4-0 (W-L-D)
Joe Lauzon,Lightweight Division,28-16-0 (W-L-D)
Sandra Lavado,Women's Strawweight Division,0-1-0 (W-L-D)
Robbie Lawler,Welterweight Division,29-16-0 (W-L-D)
Tom Lawlor,Light Heavyweight Division,10-6-0 (W-L-D)
Justin Lawrence,Featherweight Division,4-2-0 (W-L-D)
Lance Lawrence,Featherweight Division,5-0-0 (W-L-D)
Ronnie Lawrence,Bantamweight Division,8-2-0 (W-L-D)
Jimmy Lawson,Heavyweight Division,0-1-0 (W-L-D)
Valmir Lazaro,Lightweight Division,13-4-0 (W-L-D)
Zviad Lazishvili,Bantamweight Division,13-1-0 (W-L-D)
Mounir Lazzez,Welterweight Division,11-3-0 (W-L-D)
Cung Le,Middleweight Division,9-3-0 (W-L-D)
Thanh Le,Featherweight Division,7-1-0 (W-L-D)
Jordan Leavitt,Lightweight Division,11-2-0 (W-L-D)
Chris Leben,Middleweight Division,22-11-0 (W-L-D)
Mickael Lebout,Lightweight Division,14-5-1 (W-L-D)
Justin Ledet,Light Heavyweight Division,9-4-0 (W-L-D)
JeongYeong Lee,Featherweight Division,10-1-0 (W-L-D)
Chang Ho Lee,N/A,N/A
James Lee,Light Heavyweight Division,25-3-0 (W-L-D)
Jackie Lee,Lightweight Division,0-0-0 (W-L-D)
Kevin Lee,Welterweight Division,18-7-0 (W-L-D)
Vaughan Lee,Bantamweight Division,14-11-1 (W-L-D)
David Lee,Lightweight Division,5-2-0 (W-L-D)
Andrea Lee,Women's Flyweight Division,13-7-0 (W-L-D)
Rocky Lee,Featherweight Division,3-1-0 (W-L-D)
Cheyden Leialoha,Bantamweight Division,6-1-0 (W-L-D)
Christophe Leininger,Lightweight Division,0-0-0 (W-L-D)
Claudia Leite,Women's Bantamweight Division,0-1-0 (W-L-D)
Thales Leites,Middleweight Division,27-9-0 (W-L-D)
Giacomo Lemos,Heavyweight Division,6-0-0 (W-L-D)
Amanda Lemos,Women's Strawweight Division,13-2-1 (W-L-D)
Jesse Lennox,Welterweight Division,15-3-0 (W-L-D)
Nik Lentz,Featherweight Division,30-12-2 (W-L-D)
Alberto Cerro Leon,,0-0-0 (W-L-D)
Victoria Leonardo,Women's Flyweight Division,9-5-0 (W-L-D)
Anthony Leone,Bantamweight Division,0-0-0 (W-L-D)
Kimo Leopoldo,Heavyweight Division,10-4-1 (W-L-D)
Brock Lesnar,Heavyweight Division,6-3-0 (W-L-D)
Frank Lester,Welterweight Division,3-5-0 (W-L-D)
Valerie Letourneau,Women's Strawweight Division,8-6-0 (W-L-D)
Leah Letson,Women's Featherweight Division,5-3-0 (W-L-D)
Justin Levens,Middleweight Division,7-2-0 (W-L-D)
Marcus LeVesseur,Lightweight Division,22-7-0 (W-L-D)
David Levicki,,0-0-0 (W-L-D)
Natan Levy,Lightweight Division,8-1-0 (W-L-D)
John Lewis,Lightweight Division,0-0-0 (W-L-D)
Derrick Lewis,Heavyweight Division,26-11-0 (W-L-D)
Bevon Lewis,Middleweight Division,8-3-0 (W-L-D)
Malik Lewis,Lightweight Division,0-1-0 (W-L-D)
Brandon Lewis,Bantamweight Division,0-2-0 (W-L-D)
Chi Lewis-Parry,Heavyweight Division,0-0-0 (W-L-D)
Jess Liaudin,Lightweight Division,12-11-0 (W-L-D)
Chuck Liddell,Light Heavyweight Division,21-8-0 (W-L-D)
Rodrigo Lidio,Lightweight Division,0-1-0 (W-L-D)
Zach Light,Welterweight Division,5-1-0 (W-L-D)
Chris Ligouri,Middleweight Division,2-2-0 (W-L-D)
Hyun Gyu Lim,Welterweight Division,13-7-1 (W-L-D)
Mabelly Lima,Women's Bantamweight Division,0-0-0 (W-L-D)
Juliana Lima,Women's Strawweight Division,9-5-0 (W-L-D)
Dhiego Lima,Welterweight Division,17-9-0 (W-L-D)
Matt Lindland,Middleweight Division,15-3-0 (W-L-D)
Jake Lindsey,Lightweight Division,9-3-0 (W-L-D)
John Lineker,Bantamweight Division,31-9-0 (W-L-D)
Austin Lingo,Featherweight Division,9-2-0 (W-L-D)
Lucio Linhares,Middleweight Division,13-6-0 (W-L-D)
Philipe Lins,Light Heavyweight Division,16-5-0 (W-L-D)
Zhang Lipeng,Lightweight Division,9-9-1 (W-L-D)
Ariane Lipski,Women's Flyweight Division,15-8-0 (W-L-D)
Tainara Lisboa,Women's Bantamweight Division,0-0-0 (W-L-D)
Dean Lister,Middleweight Division,11-6-0 (W-L-D)
Pingyuan Liu,Bantamweight Division,13-7-0 (W-L-D)
Abner Lloveras,Lightweight Division,19-8-1 (W-L-D)
John Lober,Middleweight Division,0-0-0 (W-L-D)
Artem Lobov,Featherweight Division,14-15-1 (W-L-D)
Dylan Lockard,Featherweight Division,0-0-0 (W-L-D)
Sean Loeffler,Middleweight Division,25-5-0 (W-L-D)
Christian Lohsen,Lightweight Division,0-0-0 (W-L-D)
David Loiseau,Middleweight Division,18-10-0 (W-L-D)
Hector Lombard,Middleweight Division,34-9-1 (W-L-D)
Michael Lombardo,Welterweight Division,11-2-0 (W-L-D)
Xiao Long,Bantamweight Division,0-1-0 (W-L-D)
Loma Lookboonmee,Women's Strawweight Division,8-3-0 (W-L-D)
Ange Loosa,Welterweight Division,9-3-0 (W-L-D)
Dileno Lopes,Bantamweight Division,19-3-0 (W-L-D)
Diego Lopes,Featherweight Division,0-1-0 (W-L-D)
Jorge Lopez,Welterweight Division,11-3-0 (W-L-D)
Steve Lopez,Lightweight Division,12-3-0 (W-L-D)
Benito Lopez,Bantamweight Division,10-2-0 (W-L-D)
Matthew Lopez,Bantamweight Division,10-5-0 (W-L-D)
Gustavo Lopez,Bantamweight Division,12-6-1 (W-L-D)
Brendan Loughnane,Lightweight Division,16-4-0 (W-L-D)
Nate Loughran,Middleweight Division,0-0-0 (W-L-D)
Ian Loveland,Bantamweight Division,14-9-0 (W-L-D)
Waylon Lowe,Lightweight Division,10-4-0 (W-L-D)
Joseph Lowry,Lightweight Division,7-2-0 (W-L-D)
Robert Lucarelli,,0-0-0 (W-L-D)
Matt Lucas,Light Heavyweight Division,14-3-0 (W-L-D)
Iasmin Lucindo,Women's Flyweight Division,14-5-0 (W-L-D)
Duane Ludwig,Welterweight Division,29-14-0 (W-L-D)
Mike Lullo,Featherweight Division,8-3-0 (W-L-D)
Qiu Lun,Flyweight Division,1-2-0 (W-L-D)
Dalcha Lungiambula,Middleweight Division,11-6-0 (W-L-D)
Vicente Luque,Welterweight Division,21-9-1 (W-L-D)
Thaddeus Luster,,0-0-0 (W-L-D)
Travis Lutter,Middleweight Division,12-5-0 (W-L-D)
Tucker Lutz,Featherweight Division,12-3-0 (W-L-D)
Stevie Lynch,Welterweight Division,4-0-0 (W-L-D)
Chris Lytle,Welterweight Division,41-18-4 (W-L-D)
Dong Hyun Ma,Lightweight Division,16-11-3 (W-L-D)
Pawan Maan,Lightweight Division,0-1-0 (W-L-D)
William Macario,Welterweight Division,8-3-0 (W-L-D)
Ryan MacDonald,Bantamweight Division,10-2-0 (W-L-D)
Rory MacDonald,Welterweight Division,18-4-0 (W-L-D)
Jason MacDonald,Middleweight Division,26-16-0 (W-L-D)
Rob MacDonald,Light Heavyweight Division,4-3-0 (W-L-D)
Veronica Hardy,Women's Flyweight Division,7-4-1 (W-L-D)
Caio Machado,Heavyweight Division,0-0-0 (W-L-D)
Valesca Machado,Women's Strawweight Division,0-1-0 (W-L-D)
Ian Machado Garry,Welterweight Division,11-0-0 (W-L-D)
Lyoto Machida,Middleweight Division,24-8-0 (W-L-D)
Anthony Macias,,0-0-0 (W-L-D)
Pauline Macias,Women's Strawweight Division,0-1-0 (W-L-D)
Reza Madadi,Lightweight Division,14-6-0 (W-L-D)
Don Madge,Lightweight Division,9-3-1 (W-L-D)
Ryan Madigan,Welterweight Division,5-1-0 (W-L-D)
Mark Madsen,Lightweight Division,12-1-0 (W-L-D)
Jon Madsen,Heavyweight Division,7-1-0 (W-L-D)
Leonardo Mafra,Lightweight Division,12-3-0 (W-L-D)
Bernardo Magalhaes,Lightweight Division,11-3-0 (W-L-D)
Caio Magalhaes,Middleweight Division,9-3-0 (W-L-D)
Vinny Magalhaes,Light Heavyweight Division,11-7-0 (W-L-D)
Angela Magana,Women's Strawweight Division,11-9-0 (W-L-D)
Neil Magny,Welterweight Division,27-11-0 (W-L-D)
Shara Magomedov,Middleweight Division,0-0-0 (W-L-D)
Rashid Magomedov,Lightweight Division,20-2-0 (W-L-D)
Ruslan Magomedov,Heavyweight Division,14-1-0 (W-L-D)
Abus Magomedov,Middleweight Division,25-4-1 (W-L-D)
Zabit Magomedsharipov,Featherweight Division,18-1-0 (W-L-D)
John Maguire,Lightweight Division,18-6-0 (W-L-D)
Maheshate,Lightweight Division,9-2-0 (W-L-D)
Bill Mahood,Light Heavyweight Division,12-3-1 (W-L-D)
Nayara Maia,Women's Flyweight Division,0-1-0 (W-L-D)
Demian Maia,Welterweight Division,28-11-0 (W-L-D)
Jennifer Maia,Women's Flyweight Division,21-9-1 (W-L-D)
Roshan Mainam,Featherweight Division,0-0-0 (W-L-D)
Levan Makashvili,Featherweight Division,10-2-1 (W-L-D)
John Makdessi,Lightweight Division,18-8-0 (W-L-D)
Islam Makhachev,Lightweight Division,24-1-0 (W-L-D)
Bilyal Makhov,N/A,N/A
Zach Makovsky,Flyweight Division,19-8-0 (W-L-D)
Azat Maksum,Flyweight Division,0-0-0 (W-L-D)
Fabio Maldonado,Light Heavyweight Division,22-9-0 (W-L-D)
Bea Malecki,Women's Bantamweight Division,4-1-0 (W-L-D)
Nazareno Malegarie,Lightweight Division,28-5-0 (W-L-D)
Jacob Malkoun,Middleweight Division,7-2-0 (W-L-D)
Mike Malott,Welterweight Division,9-1-1 (W-L-D)
Troy Mandaloniz,Welterweight Division,3-2-0 (W-L-D)
Nate Maness,Flyweight Division,14-3-0 (W-L-D)
Gary Mangat,Flyweight Division,0-0-0 (W-L-D)
Jon Manley,Welterweight Division,7-3-0 (W-L-D)
Marnic Mann,Women's Strawweight Division,0-1-0 (W-L-D)
Jimi Manuwa,Light Heavyweight Division,17-6-0 (W-L-D)
William Marcario,N/A,N/A
Cristiano Marcello,Lightweight Division,13-6-0 (W-L-D)
Daniel Marcos,Bantamweight Division,14-0-0 (W-L-D)
Jose Maria,Flyweight Division,33-5-0 (W-L-D)
Enrique Marin,Welterweight Division,9-4-0 (W-L-D)
Ronny Markes,Middleweight Division,14-3-0 (W-L-D)
Rory Markham,Welterweight Division,16-6-0 (W-L-D)
Randa Markos,Women's Strawweight Division,11-12-1 (W-L-D)
Christina Marks,Women's Flyweight Division,8-9-0 (W-L-D)
Nate Marquardt,Middleweight Division,38-19-2 (W-L-D)
Danilo Marques,Light Heavyweight Division,11-4-0 (W-L-D)
Julian Marquez,Middleweight Division,9-4-0 (W-L-D)
Carmelo Marrero,Light Heavyweight Division,10-2-1 (W-L-D)
Cesar Marscucci,Lightweight Division,0-0-0 (W-L-D)
John Marsh,Heavyweight Division,12-4-0 (W-L-D)
Doug Marshall,Light Heavyweight Division,7-2-0 (W-L-D)
Eliot Marshall,Light Heavyweight Division,11-5-0 (W-L-D)
Francis Marshall,Featherweight Division,7-1-0 (W-L-D)
Jack Marshman,Middleweight Division,23-10-0 (W-L-D)
Mallory Martin,Women's Strawweight Division,7-5-0 (W-L-D)
Justin Martin,N/A,N/A
Eric Martin,Heavyweight Division,1-0-0 (W-L-D)
Terry Martin,Middleweight Division,18-4-0 (W-L-D)
Anthony Rocco Martin,Welterweight Division,17-6-0 (W-L-D)
Michal Martinek,Heavyweight Division,0-0-0 (W-L-D)
Jonathan Martinez,Bantamweight Division,17-4-0 (W-L-D)
Melissa Martinez,Women's Strawweight Division,7-1-0 (W-L-D)
Rainy Martinez,Lightweight Division,0-0-0 (W-L-D)
Henry Martinez,Lightweight Division,9-3-0 (W-L-D)
Danny Martinez,Flyweight Division,18-7-0 (W-L-D)
Victor Martinez,Lightweight Division,13-5-0 (W-L-D)
Mana Martinez,Bantamweight Division,10-4-0 (W-L-D)
Roque Martinez,Heavyweight Division,15-8-2 (W-L-D)
Lucas Martins,Featherweight Division,16-3-0 (W-L-D)
Adriano Martins,Lightweight Division,28-9-0 (W-L-D)
Bristol Marunde,Welterweight Division,12-9-0 (W-L-D)
Kazuma Maruyama,N/A,N/A
Mike Massenzio,Middleweight Division,13-7-0 (W-L-D)
Tiffany Masters,Women's Strawweight Division,2-1-0 (W-L-D)
Jorge Masvidal,Welterweight Division,35-17-0 (W-L-D)
Darius Mata-Varona,N/A,N/A
Al Matavao,Light Heavyweight Division,0-1-0 (W-L-D)
Michal Materla,N/A,N/A
Tateki Matsuda,Flyweight Division,10-7-0 (W-L-D)
Koyomi Matsushima,Featherweight Division,1-1-0 (W-L-D)
Jake Matthews,Welterweight Division,18-6-0 (W-L-D)
Connor Matthews,Featherweight Division,0-1-0 (W-L-D)
John Matua,,0-0-0 (W-L-D)
Francesco Maturi,,0-0-0 (W-L-D)
Vladimir Matyushenko,Light Heavyweight Division,26-7-0 (W-L-D)
Miranda Maverick,Women's Flyweight Division,13-4-0 (W-L-D)
Nick Maximov,Middleweight Division,8-2-0 (W-L-D)
Jack May,Heavyweight Division,7-2-0 (W-L-D)
Don'Tale Mayes,Heavyweight Division,9-5-0 (W-L-D)
Gray Maynard,Featherweight Division,14-8-1 (W-L-D)
Gina Mazany,Women's Flyweight Division,7-6-0 (W-L-D)
Sabina Mazo,Women's Flyweight Division,9-4-0 (W-L-D)
Scott McAfee,Lightweight Division,6-0-0 (W-L-D)
Michael McBride,Lightweight Division,8-3-0 (W-L-D)
Ian McCall,Flyweight Division,13-5-1 (W-L-D)
Molly McCann,Women's Flyweight Division,13-5-0 (W-L-D)
Charles McCarthy,Middleweight Division,10-5-0 (W-L-D)
Sean McCorkle,Heavyweight Division,10-2-0 (W-L-D)
Kris McCray,Welterweight Division,6-3-0 (W-L-D)
Tamdan McCrory,Middleweight Division,14-5-0 (W-L-D)
Justin McCully,Heavyweight Division,9-5-2 (W-L-D)
Bubba McDaniel,Middleweight Division,21-8-0 (W-L-D)
Michael McDonald,Bantamweight Division,17-4-0 (W-L-D)
Drew McFedries,Middleweight Division,8-6-0 (W-L-D)
Gan McGee,Heavyweight Division,12-2-0 (W-L-D)
Court McGee,Welterweight Division,22-11-0 (W-L-D)
Ryan McGilivray,Welterweight Division,11-5-1 (W-L-D)
Jack McGlaughlin,,0-0-0 (W-L-D)
Conor McGregor,Lightweight Division,22-6-0 (W-L-D)
Andrew McInnes,N/A,N/A
Antonio McKee,Lightweight Division,25-4-2 (W-L-D)
Rhys McKee,Welterweight Division,10-4-0 (W-L-D)
Cory McKenna,Women's Strawweight Division,8-2-0 (W-L-D)
Tim McKenzie,Middleweight Division,12-6-0 (W-L-D)
Cody McKenzie,Lightweight Division,14-4-0 (W-L-D)
Terrance McKinney,Lightweight Division,13-5-0 (W-L-D)
Garreth McLellan,Middleweight Division,13-6-0 (W-L-D)
Sara McMann,Women's Bantamweight Division,13-6-0 (W-L-D)
James McSweeney,Light Heavyweight Division,13-7-0 (W-L-D)
Tim Means,Welterweight Division,32-14-1 (W-L-D)
Yancy Medeiros,Lightweight Division,15-8-0 (W-L-D)
Anistavio Medeiros,Featherweight Division,15-8-0 (W-L-D)
Uroš Medić,Lightweight Division,8-1-0 (W-L-D)
Todd Medina,,0-0-0 (W-L-D)
Emil Meek,Welterweight Division,9-5-1 (W-L-D)
Alton Meeks,Heavyweight Division,3-0-0 (W-L-D)
Gerald Meerschaert,Middleweight Division,35-16-0 (W-L-D)
Jordan Mein,Welterweight Division,30-12-0 (W-L-D)
Brian Melancon,Welterweight Division,7-3-0 (W-L-D)
Gilbert Melendez,Lightweight Division,22-8-0 (W-L-D)
Brandon Melendez,Lightweight Division,11-5-0 (W-L-D)
Marcello Mello,Lightweight Division,0-0-0 (W-L-D)
Vanessa Melo,Women's Bantamweight Division,11-8-0 (W-L-D)
Antonio Mendes,Light Heavyweight Division,14-4-0 (W-L-D)
Chad Mendes,Featherweight Division,18-5-0 (W-L-D)
Augusto Mendes,Bantamweight Division,6-2-0 (W-L-D)
Eddie Mendez,Middleweight Division,0-0-0 (W-L-D)
Mateus Mendonça,Bantamweight Division,10-1-0 (W-L-D)
Pietro Menga,Flyweight Division,13-0-0 (W-L-D)
Alonzo Menifield,Light Heavyweight Division,13-3-1 (W-L-D)
Ivan Menjivar,Featherweight Division,25-12-0 (W-L-D)
Dave Menne,Welterweight Division,35-6-1 (W-L-D)
Joe Merritt,Welterweight Division,7-1-0 (W-L-D)
Jonathan Meunier,Welterweight Division,8-1-0 (W-L-D)
Yaotzin Meza,Featherweight Division,21-11-0 (W-L-D)
Guy Mezger,Middleweight Division,44-13-6 (W-L-D)
Andreas Michailidis,Welterweight Division,13-6-0 (W-L-D)
David Michaud,Lightweight Division,8-1-0 (W-L-D)
Christophe Midoux,Heavyweight Division,9-5-0 (W-L-D)
Keith Mielke,,0-0-0 (W-L-D)
Bojan Mihajlovic,Heavyweight Division,10-5-0 (W-L-D)
Billy Miles,Welterweight Division,2-2-0 (W-L-D)
Pat Miletich,Middleweight Division,27-5-2 (W-L-D)
Curtis Millender,Welterweight Division,17-5-0 (W-L-D)
Cole Miller,Featherweight Division,21-11-0 (W-L-D)
Phillip Miller,Middleweight Division,15-0-0 (W-L-D)
Jason Miller,Welterweight Division,24-10-0 (W-L-D)
Jim Miller,Lightweight Division,35-17-0 (W-L-D)
Dan Miller,Middleweight Division,14-8-0 (W-L-D)
Juliana Miller,Women's Flyweight Division,4-2-0 (W-L-D)
Mo Miller,Bantamweight Division,1-0-0 (W-L-D)
Che Mills,Welterweight Division,15-6-0 (W-L-D)
Adam Milstead,Light Heavyweight Division,8-3-0 (W-L-D)
Alberto Mina,Welterweight Division,13-1-0 (W-L-D)
Zhang Mingyang,Light Heavyweight Division,1-0-0 (W-L-D)
Darrick Minner,Featherweight Division,26-14-0 (W-L-D)
Ikuhisa Minowa,Middleweight Division,0-0-0 (W-L-D)
Carlton Minus,Welterweight Division,10-3-0 (W-L-D)
Stipe Miocic,Heavyweight Division,20-4-0 (W-L-D)
Frank Mir,Heavyweight Division,18-11-0 (W-L-D)
Mario Miranda,Middleweight Division,12-3-0 (W-L-D)
Vitor Miranda,Middleweight Division,13-7-0 (W-L-D)
Gabriel Miranda,Lightweight Division,16-6-0 (W-L-D)
Kazuo Misaki,Welterweight Division,0-0-0 (W-L-D)
Toby Misech,Featherweight Division,10-5-0 (W-L-D)
Dokonjonosuke Mishima,Lightweight Division,17-6-2 (W-L-D)
Maurice Mitchell,Featherweight Division,11-2-0 (W-L-D)
Felix Lee Mitchell,,0-0-0 (W-L-D)
Danny Mitchell,Welterweight Division,14-6-1 (W-L-D)
Bryce Mitchell,Featherweight Division,15-2-0 (W-L-D)
Roman Mitichyan,Welterweight Division,9-2-0 (W-L-D)
Matt Mitrione,Heavyweight Division,9-5-0 (W-L-D)
Eiji Mitsuoka,Featherweight Division,18-9-2 (W-L-D)
Takeya Mizugaki,Bantamweight Division,21-11-2 (W-L-D)
Roxanne Modafferi,Women's Flyweight Division,25-21-0 (W-L-D)
Bobby Moffett,Featherweight Division,12-5-0 (W-L-D)
Nate Mohr,Lightweight Division,8-6-0 (W-L-D)
Renato Moicano,Lightweight Division,17-5-1 (W-L-D)
Thiago Moises,Lightweight Division,17-6-0 (W-L-D)
Muhammad Mokaev,Flyweight Division,10-0-0 (W-L-D)
Suman Mokhtarian,Featherweight Division,8-2-0 (W-L-D)
Ashkan Mokhtarian,Flyweight Division,13-3-0 (W-L-D)
Jeffrey Molina,Flyweight Division,11-2-0 (W-L-D)
Rudyard Moncayo,,0-0-0 (W-L-D)
Jeff Monson,Heavyweight Division,24-5-0 (W-L-D)
Darrell Montague,Flyweight Division,13-5-0 (W-L-D)
Nicco Montano,Women's Bantamweight Division,5-3-0 (W-L-D)
Augusto Montano,Welterweight Division,15-3-0 (W-L-D)
Erick Montano,Welterweight Division,8-5-0 (W-L-D)
Alberto Montes,Bantamweight Division,0-0-0 (W-L-D)
Steve Montgomery,Middleweight Division,8-4-0 (W-L-D)
James Moontasri,Welterweight Division,9-5-0 (W-L-D)
Homer Moore,Light Heavyweight Division,17-2-0 (W-L-D)
Taylor Moore,Bantamweight Division,0-1-0 (W-L-D)
Sergio Moraes,Welterweight Division,14-7-1 (W-L-D)
Sheymon Moraes,Featherweight Division,11-4-0 (W-L-D)
Marlon Moraes,Bantamweight Division,23-10-1 (W-L-D)
John Moraga,Flyweight Division,19-7-0 (W-L-D)
Vince Morales,Bantamweight Division,11-7-0 (W-L-D)
Joseph Morales,Flyweight Division,9-2-0 (W-L-D)
Leonardo Morales,Bantamweight Division,5-2-0 (W-L-D)
Albert Morales,Bantamweight Division,7-4-1 (W-L-D)
Michael Morales,Welterweight Division,14-0-0 (W-L-D)
Omar Morales,Lightweight Division,11-4-0 (W-L-D)
Sarah Moras,Women's Bantamweight Division,6-8-0 (W-L-D)
Christian Morecraft,Heavyweight Division,7-3-0 (W-L-D)
Gisele Moreira,Women's Bantamweight Division,0-0-0 (W-L-D)
Vinicius Moreira,Light Heavyweight Division,9-5-0 (W-L-D)
Richardson Moreira,Middleweight Division,7-4-0 (W-L-D)
Brandon Moreno,Flyweight Division,21-6-2 (W-L-D)
Dan Moret,Lightweight Division,13-6-0 (W-L-D)
Alexander Morgan,Featherweight Division,0-1-0 (W-L-D)
Sammy Morgan,Welterweight Division,18-7-0 (W-L-D)
Peggy Morgan,Women's Bantamweight Division,2-1-0 (W-L-D)
Joe Moriera,Lightweight Division,0-0-0 (W-L-D)
Alex Morono,Welterweight Division,22-8-0 (W-L-D)
Maryna Moroz,Women's Flyweight Division,11-4-0 (W-L-D)
Sergey Morozov,Bantamweight Division,19-5-0 (W-L-D)
Scott Morris,,0-0-0 (W-L-D)
Brad Morris,Light Heavyweight Division,10-4-0 (W-L-D)
Anthony Morrison,Lightweight Division,15-8-0 (W-L-D)
Harry Moskowitz,Heavyweight Division,0-0-0 (W-L-D)
Carlos Mota,Flyweight Division,8-2-0 (W-L-D)
Nikolas Motta,Lightweight Division,13-4-0 (W-L-D)
Flavio Moura,Middleweight Division,0-0-0 (W-L-D)
Gegard Mousasi,Middleweight Division,42-6-2 (W-L-D)
Kris Moutinho,Bantamweight Division,9-6-0 (W-L-D)
Jamie Moyle,Women's Strawweight Division,4-3-0 (W-L-D)
Askar Mozharov,Light Heavyweight Division,0-1-0 (W-L-D)
Sumudaerji,Flyweight Division,16-5-0 (W-L-D)
Lauren Mueller,Women's Flyweight Division,5-3-0 (W-L-D)
Belal Muhammad,Welterweight Division,22-3-0 (W-L-D)
Quinn Mulhern,Lightweight Division,18-4-0 (W-L-D)
James Mulheron,Heavyweight Division,11-2-0 (W-L-D)
Jamie Mullarkey,Lightweight Division,16-5-0 (W-L-D)
Jim Mullen,Heavyweight Division,0-0-0 (W-L-D)
Pedro Munhoz,Bantamweight Division,20-7-0 (W-L-D)
Andre Muniz,Middleweight Division,23-5-0 (W-L-D)
Emanuel Muniz,N/A,N/A
Mark Munoz,Middleweight Division,14-6-0 (W-L-D)
Alexander Munoz,Lightweight Division,6-2-0 (W-L-D)
Johnny Munoz,Bantamweight Division,12-2-0 (W-L-D)
Olivier Murad,Featherweight Division,1-0-0 (W-L-D)
Makhmud Muradov,Middleweight Division,25-8-0 (W-L-D)
Kanako Murata,Women's Strawweight Division,12-2-0 (W-L-D)
Aili Muratbek,Lightweight Division,0-0-0 (W-L-D)
Vince Murdock,Featherweight Division,12-4-0 (W-L-D)
Samandar Murodov,Welterweight Division,1-0-0 (W-L-D)
Lerone Murphy,Featherweight Division,12-0-1 (W-L-D)
Tom Murphy,Heavyweight Division,5-1-0 (W-L-D)
Lauren Murphy,Women's Flyweight Division,16-6-0 (W-L-D)
Lee Murray,Middleweight Division,9-1-1 (W-L-D)
Jesse Murray,Light Heavyweight Division,0-1-0 (W-L-D)
Khalid Murtazaliev,Middleweight Division,14-2-0 (W-L-D)
Azamat Murzakanov,Light Heavyweight Division,13-0-0 (W-L-D)
Nico Musoke,Welterweight Division,13-5-0 (W-L-D)
Magomed Mustafaev,Lightweight Division,14-4-0 (W-L-D)
Max Mustaki,Lightweight Division,6-3-0 (W-L-D)
Elvis Mutapcic,Middleweight Division,15-5-1 (W-L-D)
Przemyslaw Mysiala,N/A,N/A
Liang Na,Women's Strawweight Division,17-6-0 (W-L-D)
Muhammadjon Naimov,Featherweight Division,5-1-0 (W-L-D)
Rin Nakai,Women's Bantamweight Division,16-2-1 (W-L-D)
Rinya Nakamura,Bantamweight Division,7-0-0 (W-L-D)
Kazuhiro Nakamura,Light Heavyweight Division,11-8-0 (W-L-D)
Keita Nakamura,Welterweight Division,34-10-2 (W-L-D)
Jutaro Nakao,Welterweight Division,11-8-2 (W-L-D)
Tyson Nam,Flyweight Division,21-13-1 (W-L-D)
Rose Namajunas,Women's Strawweight Division,12-5-0 (W-L-D)
Nad Narimani,Featherweight Division,12-4-0 (W-L-D)
