Name,Division,Records
Chelsea Chandler,Women's Bantamweight Division,5-1-0 (W-L-D)
Michael Chandler,Lightweight Division,23-8-0 (W-L-D)
Donnie Chappell,Lightweight Division,0-0-0 (W-L-D)
Joe Charles,Heavyweight Division,0-0-0 (W-L-D)
Ernest Chavez,Lightweight Division,8-2-0 (W-L-D)
Danny Chavez,Featherweight Division,11-5-1 (W-L-D)
Gabriel Checco,Middleweight Division,10-2-0 (W-L-D)
Albert Cheng,Welterweight Division,2-4-0 (W-L-D)
Fabio Cherant,Light Heavyweight Division,7-4-0 (W-L-D)
Mark Cherico,Featherweight Division,11-2-0 (W-L-D)
Macy Chiasson,Women's Featherweight Division,9-3-0 (W-L-D)
Michael Chiesa,Welterweight Division,18-6-0 (W-L-D)
